id;origem;texto;sent_gpt5
26;manual;Me quebra que literalmente é o ÚNICO argumento do esquerdista imbecil: falar do sus. Sério, o ÚNICO! Um sistema de saúde extremamente desorganizado e precário. Tem que ter muita disposição pra tentar acreditar que isso faz o Brasil melhor do que os EUA;positivo
27;manual;🇧🇷 O Mais Médicos é orgulho do Brasil e garante saúde para quem mais precisa. De norte a sul, mais do que ampliar o número de profissionais, o programa fortalece o Sistema Único de Saúde (SUS), assegura atendimento a regiões prioritárias, remotas, de difícil acesso e de alto índice de vulnerabilidade, reduzindo desigualdades e salvando vidas. ;positivo
Defender o Mais Médicos é defender o direito à saúde e o futuro do país.;manual;;neutro
28;manual;"SUS não é ""de graça"" no sentido literal, pois é financiado pelos impostos pagos pelos cidadãos. O Sistema Único de Saúde é sustentado por recursos públicos provenientes de tributos federais, estaduais e municipais, como ICMS, IPVA, ISS, IPTU, IR, COFINS, entre outros";neutro
29;manual;tudo bem, eu entendo reclamar do Samu ou SUS. Mas: As filas do SUS (Sistema Único de Saúde) são um problema recorrente no Brasil, com longas esperas para consultas, exames e cirurgias.;negativo
30;manual;só esse mês usei o SUS diretamente 3 vezes, a última foi pra vacinar meu doguinho, VIVA O NOSSO SISTEMA ÚNICO DE SAÚDE!;positivo
31;manual;VIVA O SUS O Sistema Único de Saúde é um dos maiores e mais complexos sistemas de saúde pública do planeta 🌎.;positivo
32;manual;Sistema Único de Saúde 🇧🇷SUS é Soberania, protege vidas com vigilância epidemiológica e resposta rápida a emergências. SUS, entre outros tantos serviços, promove equidade, pesquisa científica e formação de profissionais para fortalecer o cuidado público;neutro
33;manual;E tu quer que o SUS vulgo SISTEMA ÚNICO DE SAÚDE faça o que??? A função do SUS é com a saúde da população, geopolítica é outra área. Gente BURRA (pra não dizer mau caráter) me irrita profundamente.;negativo
34;manual;o sus ta acabando com a minha saude.;negativo
quem diria que o sistema unico de saúde criado para cuidar da saude publica estaria destruindo a saude dos funcionários de saúde?;manual;;neutro
cade a prevenção quinquenaria?;manual;;neutro
35;manual; Turista britânico precisou tomar vacina antirrábica no Brasil… e saiu CHOCADO — mas pelo melhor motivo!;positivo
Ele contou sua experiência e defendeu o SUS melhor do que muito brasileiro. Viva o Sistema Único de Saúde! Orgulho nacional! ;manual;;neutro
36;manual;CAPS são Centros de Atenção Psicossocial, instituições do Sistema Único de Saúde (SUS) que oferecem cuidado e tratamento para pessoas com transtornos mentais graves, incluindo aqueles relacionados ao uso de álcool e bolsonarista. Os CAPS são uma alternativa aos hospitais!;neutro
37;manual;Nossa, tô muito feliz por ter nascido em um país que tem um Sistema Único de Saúde acessível para absolutamente TODOS onde você tem acesso a médicos empáticos e medicamentos caríssimos com um custo >> direto << de absolutamente ZERO reais! Te amo Brasil caralho e viva o SUS! ❤️;positivo
38;manual;QUER ENGANAR QUEM??? OTARIOS.;neutro
O Sistema Único de Saúde (SUS) é financiado por recursos provenientes dos governos federal, estadual e municipal. (Esses recursos são oriundos dos impostos, taxas e contribuições sociais pagos pela população).;manual;;neutro
39;manual;vei meu pai fez o transplante de rim pelo sus vem sempre pra recife num transporte de van oferecido pelo sus consultas semanais e medicação td pelo sus;neutro
fez uma tomografia agr no melhor hospital do nordeste pelo sus EU TE AMO SISTEMA ÚNICO DE SAÚDE EU TE AMO;manual;;neutro
40;manual;Acho muito importante essa matéria do Profissão Repórter sobre o SUS. Uma galera tira o Sistema Único de Saúde pra merda mas na grande maioria das vezes são médicos q fazem muitíssimo com muito pouco, seja equipamento ou até mesmo falta de pessoal.;positivo
Heróis pouco reconhecidos.;manual;;neutro
41;manual;Acho muito importante essa matéria do Profissão Repórter sobre o SUS. Uma galera tira o Sistema Único de Saúde pra merda mas na grande maioria das vezes são médicos q fazem muitíssimo com muito pouco, seja equipamento ou até mesmo falta de pessoal.Heróis pouco reconhecidos.;positivo
